Page,Date,Sum of PageViews
Independence_Day_(United_States),2015-11-08,17694
Independence_Day_(United_States),2015-11-15,19563
Independence_Day_(United_States),2015-11-22,19141
Independence_Day_(United_States),2015-11-29,18415
Independence_Day_(United_States),2015-12-06,17095
Independence_Day_(United_States),2015-12-13,17371
Independence_Day_(United_States),2015-12-20,17726
Independence_Day_(United_States),2015-12-27,11717
Independence_Day_(United_States),2016-01-03,13212
Independence_Day_(United_States),2016-01-10,15202
Independence_Day_(United_States),2016-01-17,14650
Independence_Day_(United_States),2016-01-24,15997
Independence_Day_(United_States),2016-01-31,19064
Independence_Day_(United_States),2016-02-07,36238
Independence_Day_(United_States),2016-02-14,21619
Independence_Day_(United_States),2016-02-21,18435
Independence_Day_(United_States),2016-02-28,18930
Independence_Day_(United_States),2016-03-06,19930
Independence_Day_(United_States),2016-03-13,16942
Independence_Day_(United_States),2016-03-20,17856
Independence_Day_(United_States),2016-03-27,16971
Independence_Day_(United_States),2016-04-03,18333
Independence_Day_(United_States),2016-04-10,20528
Independence_Day_(United_States),2016-04-17,16818
Independence_Day_(United_States),2016-04-24,18425
Independence_Day_(United_States),2016-05-01,15793
Jack_Ma,2015-07-05,10681
Jack_Ma,2015-07-12,19429
Jack_Ma,2015-07-19,17186
Jack_Ma,2015-07-26,16420
Jack_Ma,2015-08-02,16261
Jack_Ma,2015-08-09,17380
Jack_Ma,2015-08-16,22418
Jack_Ma,2015-08-23,17674
Jack_Ma,2015-08-30,18528
Jack_Ma,2015-09-06,14877
Jack_Ma,2015-09-13,16132
Jack_Ma,2015-09-20,25717
Jack_Ma,2015-09-27,17561
Jack_Ma,2015-10-04,18200
Jack_Ma,2015-10-11,17350
Jack_Ma,2015-10-18,16814
Jack_Ma,2015-10-25,18212
Jack_Ma,2015-11-01,20031
Jack_Ma,2015-11-08,19011
Jack_Ma,2015-11-15,34565
Jack_Ma,2015-11-22,46613
Jack_Ma,2015-11-29,27464
Jack_Ma,2015-12-06,26894
Jack_Ma,2015-12-13,20316
Jack_Ma,2015-12-20,18692
Jack_Ma,2015-12-27,14845
Jack_Ma,2016-01-03,17177
Jack_Ma,2016-01-10,16893
Jack_Ma,2016-01-17,17421
Jack_Ma,2016-01-24,19565
Jack_Ma,2016-01-31,18011
Jack_Ma,2016-02-07,22232
Jack_Ma,2016-02-14,57007
Jack_Ma,2016-02-21,33025
Jack_Ma,2016-02-28,34769
Jack_Ma,2016-03-06,22914
Jack_Ma,2016-03-13,24312
Jack_Ma,2016-03-20,30425
Jack_Ma,2016-03-27,31362
Jack_Ma,2016-04-03,22409
Jack_Ma,2016-04-10,22416
Jack_Ma,2016-04-17,23973
Jack_Ma,2016-04-24,22281
Jack_Ma,2016-05-01,32230
John_Kasich,2015-07-05,4355
John_Kasich,2015-07-12,11264
John_Kasich,2015-07-19,17889
John_Kasich,2015-07-26,150663
John_Kasich,2015-08-02,35292
John_Kasich,2015-08-09,234697
John_Kasich,2015-08-16,60605
John_Kasich,2015-08-23,42006
John_Kasich,2015-08-30,26887
John_Kasich,2015-09-06,23471
John_Kasich,2015-09-13,22850
John_Kasich,2015-09-20,117445
John_Kasich,2015-09-27,32331
John_Kasich,2015-10-04,16884
John_Kasich,2015-10-11,20976
John_Kasich,2015-10-18,18607
John_Kasich,2015-10-25,14600
John_Kasich,2015-11-01,100202
John_Kasich,2015-11-08,27945
John_Kasich,2015-11-15,75938
John_Kasich,2015-11-22,27378
John_Kasich,2015-11-29,21086
John_Kasich,2015-12-06,17593
John_Kasich,2015-12-13,22828
John_Kasich,2015-12-20,44917
John_Kasich,2015-12-27,17612
John_Kasich,2016-01-03,17458
John_Kasich,2016-01-10,21199
