Date,Page,Proj,Sum of PageViews
20100504-,Ryan_Gosling,en,2600
20100504-,String_theory,en,4546
20100504-,Donald_Trump,en,10216
20100504-,Megan_Fox,en,13458
20100504-,Bernie_Sanders,en,399
20100504-,Ted_Cruz,en,24
20100504-,Apache_Hadoop,en,1
20100504-,Sundar_Pichai,en,13
20100504-,Independence_Day_(United_States),en,2396
20100505-,John_Kasich,en,270
20100505-,Bernie_Sanders,en,470
20100505-,Apache_Hadoop,en,6
20100505-,Hillary_Clinton,en,539
20100505-,Ryan_Gosling,en,2384
20100505-,Independence_Day_(United_States),en,3009
20100505-,Megan_Fox,en,13881
20100505-,Shah_Rukh_Khan,en,325
20100505-,Sundar_Pichai,en,9
20100505-,Donald_Trump,en,6212
20100505-,Ted_Cruz,en,10
20100505-,Jack_Ma,en,64
20100505-,String_theory,en,5122
20100506-,Jack_Ma,en,69
20100506-,Independence_Day_(United_States),en,3164
20100506-,String_theory,en,4711
20100506-,Hillary_Clinton,en,496
20100506-,John_Kasich,en,199
20100506-,Sundar_Pichai,en,12
20100506-,Ryan_Gosling,en,2595
20100506-,Shah_Rukh_Khan,en,294
20100506-,Donald_Trump,en,6140
20100506-,Ted_Cruz,en,11
20100506-,Bernie_Sanders,en,594
20100506-,Apache_Hadoop,en,4
20100506-,Megan_Fox,en,13143
20100507-,Apache_Hadoop,en,1
20100507-,Ted_Cruz,en,12
20100507-,Independence_Day_(United_States),en,2318
20100507-,Ryan_Gosling,en,2447
20100507-,Donald_Trump,en,5377
20100507-,Megan_Fox,en,13291
20100507-,Hillary_Clinton,en,615
20100507-,John_Kasich,en,214
20100507-,Bernie_Sanders,en,1062
20100507-,Jack_Ma,en,58
20100507-,String_theory,en,4222
20100507-,Shah_Rukh_Khan,en,376
20100507-,Sundar_Pichai,en,14
20100508-,Hillary_Clinton,en,443
20100508-,Apache_Hadoop,en,4
20100508-,String_theory,en,3251
20100508-,Shah_Rukh_Khan,en,364
20100508-,Bernie_Sanders,en,547
20100508-,Donald_Trump,en,5318
20100508-,Independence_Day_(United_States),en,1449
20100508-,John_Kasich,en,159
20100508-,Ted_Cruz,en,8
20100508-,Megan_Fox,en,13062
20100508-,Jack_Ma,en,61
20100508-,Ryan_Gosling,en,5279
20100508-,Sundar_Pichai,en,6
20100509-,Megan_Fox,en,13991
20100509-,John_Kasich,en,133
20100509-,Apache_Hadoop,en,2
20100509-,Ted_Cruz,en,8
20100509-,Ryan_Gosling,en,4186
20100509-,Jack_Ma,en,46
20100509-,Shah_Rukh_Khan,en,337
20100509-,Sundar_Pichai,en,33
20100509-,String_theory,en,3354
20100509-,Independence_Day_(United_States),en,1674
20100509-,Donald_Trump,en,5106
20100509-,Bernie_Sanders,en,401
20100509-,Hillary_Clinton,en,500
20100510-,String_theory,en,4227
20100510-,Sundar_Pichai,en,24
20100510-,Independence_Day_(United_States),en,2400
20100510-,Donald_Trump,en,11670
20100510-,Ted_Cruz,en,30
20100510-,Ryan_Gosling,en,2832
20100510-,Jack_Ma,en,95
20100510-,Shah_Rukh_Khan,en,385
20100510-,Megan_Fox,en,13837
20100510-,John_Kasich,en,196
20100510-,Bernie_Sanders,en,495
20100510-,Hillary_Clinton,en,606
20100510-,Apache_Hadoop,en,2
20100511-,Shah_Rukh_Khan,en,296
20100511-,Megan_Fox,en,14074
20100511-,Apache_Hadoop,en,3
20100511-,Hillary_Clinton,en,580
20100511-,Bernie_Sanders,en,617
20100511-,Ted_Cruz,en,25
20100511-,Jack_Ma,en,99
20100511-,John_Kasich,en,184
20100511-,Ryan_Gosling,en,2489
20100511-,Sundar_Pichai,en,16
20100511-,String_theory,en,4055
20100511-,Donald_Trump,en,6791
20100511-,Independence_Day_(United_States),en,2597
20100512-,Hillary_Clinton,en,529
20100512-,Shah_Rukh_Khan,en,279
20100512-,String_theory,en,3724
20100512-,Donald_Trump,en,5534
20100512-,Ryan_Gosling,en,2354
20100512-,Ted_Cruz,en,15
20100512-,Jack_Ma,en,88
20100512-,John_Kasich,en,154
20100512-,Apache_Hadoop,en,6
20100512-,Bernie_Sanders,en,713
20100512-,Sundar_Pichai,en,8
20100512-,Megan_Fox,en,12347
20100512-,Independence_Day_(United_States),en,2219
20100513-,Shah_Rukh_Khan,en,301
20100513-,Sundar_Pichai,en,12
20100513-,Megan_Fox,en,10788
20100513-,Apache_Hadoop,en,2
20100513-,Hillary_Clinton,en,460
20100513-,Ryan_Gosling,en,2100
20100513-,String_theory,en,3173
20100513-,Donald_Trump,en,7264
20100513-,Jack_Ma,en,71
20100513-,Independence_Day_(United_States),en,1903
20100513-,Bernie_Sanders,en,421
20100513-,Ted_Cruz,en,17
20100513-,John_Kasich,en,301
20100514-,Megan_Fox,en,13135
20100514-,Apache_Hadoop,en,1
20100514-,John_Kasich,en,169
20100514-,Independence_Day_(United_States),en,1938
20100514-,Jack_Ma,en,110
20100514-,Sundar_Pichai,en,12
20100514-,String_theory,en,3541
20100514-,Shah_Rukh_Khan,en,303
20100514-,Ryan_Gosling,en,2509
20100514-,Ted_Cruz,en,6
20100514-,Hillary_Clinton,en,404
20100514-,Donald_Trump,en,5341
20100514-,Bernie_Sanders,en,345
20100515-,Donald_Trump,en,6305
20100515-,Hillary_Clinton,en,394
20100515-,Sundar_Pichai,en,15
20100515-,Megan_Fox,en,14867
20100515-,Bernie_Sanders,en,475
20100515-,Jack_Ma,en,73
20100515-,Apache_Hadoop,en,1
20100515-,John_Kasich,en,105
20100515-,Shah_Rukh_Khan,en,393
20100515-,Independence_Day_(United_States),en,2017
20100515-,String_theory,en,3250
20100515-,Ryan_Gosling,en,2612
20100515-,Ted_Cruz,en,17
20100516-,Sundar_Pichai,en,14
20100516-,Hillary_Clinton,en,366
20100516-,Independence_Day_(United_States),en,1667
20100516-,String_theory,en,3350
20100516-,John_Kasich,en,102
20100516-,Jack_Ma,en,51
20100516-,Apache_Hadoop,en,3
20100516-,Bernie_Sanders,en,306
20100516-,Ted_Cruz,en,10
20100516-,Ryan_Gosling,en,2765
20100516-,Megan_Fox,en,20720
20100516-,Shah_Rukh_Khan,en,340
20100516-,Donald_Trump,en,5338
20100517-,String_theory,en,3557
20100517-,Donald_Trump,en,12812
20100517-,John_Kasich,en,125
20100517-,Hillary_Clinton,en,442
20100517-,Ted_Cruz,en,17
20100517-,Megan_Fox,en,18099
20100517-,Independence_Day_(United_States),en,2400
20100517-,Sundar_Pichai,en,12
20100517-,Apache_Hadoop,en,3
20100517-,Shah_Rukh_Khan,en,362
20100517-,Jack_Ma,en,74
20100517-,Bernie_Sanders,en,328
20100517-,Ryan_Gosling,en,2605
20100518-,Shah_Rukh_Khan,en,258
