Page,Date,Sum of PageViews
Deep_Learning,2012-02-29,88.0
Deep_Learning,2012-03-31,61.0
Deep_Learning,2012-04-30,85.0
Deep_Learning,2012-05-31,91.0
Deep_Learning,2012-06-30,97.0
Deep_Learning,2012-07-31,130.0
Deep_Learning,2012-08-31,90.0
Deep_Learning,2012-09-30,91.0
Deep_Learning,2012-10-31,193.0
Deep_Learning,2012-11-30,481.0
Deep_Learning,2012-12-31,301.0
Deep_Learning,2013-01-31,257.0
Deep_Learning,2013-02-28,168.0
Deep_Learning,2013-03-31,602.0
Deep_Learning,2013-04-30,493.0
Deep_Learning,2013-05-31,364.0
Deep_Learning,2013-06-30,502.0
Deep_Learning,2013-07-31,381.0
Deep_Learning,2013-08-31,456.0
Deep_Learning,2013-09-30,421.0
Deep_Learning,2013-10-31,449.0
Deep_Learning,2013-11-30,439.0
Deep_Learning,2013-12-31,952.0
Deep_Learning,2014-01-31,1450.0
Deep_Learning,2014-02-28,1622.0
Deep_Learning,2014-03-31,1551.0
Deep_Learning,2014-04-30,1069.0
Deep_Learning,2014-05-31,1047.0
Deep_Learning,2014-06-30,1052.0
Deep_Learning,2014-07-31,1391.0
Deep_Learning,2014-08-31,1173.0
Deep_Learning,2014-09-30,1127.0
Deep_Learning,2014-10-31,1024.0
Deep_Learning,2014-11-30,1032.0
Deep_Learning,2014-12-31,1821.0
Deep_Learning,2015-01-31,1984.0
Deep_Learning,2015-02-28,1756.0
Deep_Learning,2015-03-31,1890.0
Deep_Learning,2015-04-30,1788.0
Deep_Learning,2015-05-31,2209.0
Deep_Learning,2015-06-30,2217.0
Deep_Learning,2015-07-31,2102.0
Deep_Learning,2015-08-31,2279.0
Deep_Learning,2015-09-30,2398.0
Deep_Learning,2015-10-31,2176.0
Deep_Learning,2015-11-30,862.0
Deep_Learning,2015-12-31,944.0
Deep_Learning,2016-01-31,931.0
Deep_Learning,2016-02-29,851.0
Deep_Learning,2016-03-31,1085.0
Deep_Learning,2016-04-30,910.0
Donald_Trump,2010-04-30,159284.0
Donald_Trump,2010-05-31,227770.0
Donald_Trump,2010-06-30,86808.0
Donald_Trump,2010-07-31,96347.0
Donald_Trump,2010-08-31,135140.0
Donald_Trump,2010-09-30,176916.0
Donald_Trump,2010-10-31,200560.0
Donald_Trump,2010-11-30,213183.0
Donald_Trump,2010-12-31,175267.0
Donald_Trump,2011-01-31,196276.0
Donald_Trump,2011-02-28,287003.0
Donald_Trump,2011-03-31,468231.0
Donald_Trump,2011-04-30,942466.0
Donald_Trump,2011-05-31,575577.0
Donald_Trump,2011-06-30,179487.0
Donald_Trump,2011-07-31,188171.0
Donald_Trump,2011-08-31,179897.0
Donald_Trump,2011-09-30,146035.0
Donald_Trump,2011-10-31,150176.0
Donald_Trump,2011-11-30,146784.0
Donald_Trump,2011-12-31,197969.0
Donald_Trump,2012-01-31,155148.0
Donald_Trump,2012-02-29,215493.0
Donald_Trump,2012-03-31,241633.0
Donald_Trump,2012-04-30,222174.0
Donald_Trump,2012-05-31,213929.0
Donald_Trump,2012-06-30,149542.0
Donald_Trump,2012-07-31,140983.0
Donald_Trump,2012-08-31,155487.0
Donald_Trump,2012-09-30,150762.0
Donald_Trump,2012-10-31,325710.0
Donald_Trump,2012-11-30,273941.0
Donald_Trump,2012-12-31,171899.0
Donald_Trump,2013-01-31,192058.0
Donald_Trump,2013-02-28,149203.0
Donald_Trump,2013-03-31,249368.0
Donald_Trump,2013-04-30,205939.0
Donald_Trump,2013-05-31,168122.0
Donald_Trump,2013-06-30,134126.0
Donald_Trump,2013-07-31,120223.0
Donald_Trump,2013-08-31,126679.0
Donald_Trump,2013-09-30,100353.0
Donald_Trump,2013-10-31,110270.0
Donald_Trump,2013-11-30,99002.0
Donald_Trump,2013-12-31,127207.0
Donald_Trump,2014-01-31,109482.0
Donald_Trump,2014-02-28,92436.0
Donald_Trump,2014-03-31,100253.0
Donald_Trump,2014-04-30,113833.0
Donald_Trump,2014-05-31,106100.0
Donald_Trump,2014-06-30,96436.0
Donald_Trump,2014-07-31,89211.0
Donald_Trump,2014-08-31,108394.0
Donald_Trump,2014-09-30,108968.0
Donald_Trump,2014-10-31,100795.0
Donald_Trump,2014-11-30,87965.0
Donald_Trump,2014-12-31,80644.0
Donald_Trump,2015-01-31,147720.0
Donald_Trump,2015-02-28,111866.0
Donald_Trump,2015-03-31,118809.0
Donald_Trump,2015-04-30,89749.0
Donald_Trump,2015-05-31,84362.0
Donald_Trump,2015-06-30,475950.0
Donald_Trump,2015-07-31,1827112.0
Donald_Trump,2015-08-31,2896610.0
Donald_Trump,2015-09-30,2031231.0
Donald_Trump,2015-10-31,1204432.0
Donald_Trump,2015-11-30,1198269.0
Donald_Trump,2015-12-31,2611070.0
Donald_Trump,2016-01-31,2394948.0
Donald_Trump,2016-02-29,8097919.0
Donald_Trump,2016-03-31,20952347.0
Donald_Trump,2016-04-30,3606424.0
Hillary_Clinton,2010-04-30,18108.0
Hillary_Clinton,2010-05-31,15625.0
Hillary_Clinton,2010-06-30,10674.0
Hillary_Clinton,2010-07-31,12651.0
Hillary_Clinton,2010-08-31,18478.0
Hillary_Clinton,2010-09-30,17480.0
Hillary_Clinton,2010-10-31,17736.0
Hillary_Clinton,2010-11-30,17567.0
Hillary_Clinton,2010-12-31,16571.0
Hillary_Clinton,2011-01-31,16312.0
Hillary_Clinton,2011-02-28,18240.0
Hillary_Clinton,2011-03-31,24627.0
Hillary_Clinton,2011-04-30,14232.0
Hillary_Clinton,2011-05-31,17237.0
Hillary_Clinton,2011-06-30,16259.0
Hillary_Clinton,2011-07-31,17392.0
Hillary_Clinton,2011-08-31,12916.0
Hillary_Clinton,2011-09-30,18899.0
Hillary_Clinton,2011-10-31,16358.0
Hillary_Clinton,2011-11-30,14962.0
Hillary_Clinton,2011-12-31,14736.0
Hillary_Clinton,2012-01-31,17265.0
Hillary_Clinton,2012-02-29,15917.0
Hillary_Clinton,2012-03-31,15714.0
Hillary_Clinton,2012-04-30,15526.0
Hillary_Clinton,2012-05-31,16802.0
Hillary_Clinton,2012-06-30,17003.0
Hillary_Clinton,2012-07-31,18819.0
Hillary_Clinton,2012-08-31,16433.0
Hillary_Clinton,2012-09-30,22679.0
Hillary_Clinton,2012-10-31,18124.0
Hillary_Clinton,2012-11-30,36153.0
Hillary_Clinton,2012-12-31,25009.0
Hillary_Clinton,2013-01-31,26805.0
Hillary_Clinton,2013-02-28,13695.0
Hillary_Clinton,2013-03-31,18582.0
Hillary_Clinton,2013-04-30,17989.0
Hillary_Clinton,2013-05-31,17905.0
Hillary_Clinton,2013-06-30,19355.0
Hillary_Clinton,2013-07-31,22909.0
Hillary_Clinton,2013-08-31,13019.0
Hillary_Clinton,2013-09-30,11677.0
Hillary_Clinton,2013-10-31,11790.0
Hillary_Clinton,2013-11-30,12270.0
Hillary_Clinton,2013-12-31,13545.0
Hillary_Clinton,2014-01-31,14348.0
Hillary_Clinton,2014-02-28,13593.0
Hillary_Clinton,2014-03-31,14315.0
Hillary_Clinton,2014-04-30,14376.0
Hillary_Clinton,2014-05-31,15625.0
Hillary_Clinton,2014-06-30,14597.0
Hillary_Clinton,2014-07-31,12002.0
Hillary_Clinton,2014-08-31,10298.0
Hillary_Clinton,2014-09-30,11580.0
Hillary_Clinton,2014-10-31,11979.0
Hillary_Clinton,2014-11-30,14554.0
Hillary_Clinton,2014-12-31,10934.0
Hillary_Clinton,2015-01-31,11884.0
Hillary_Clinton,2015-02-28,13437.0
Hillary_Clinton,2015-03-31,15350.0
Hillary_Clinton,2015-04-30,22592.0
Hillary_Clinton,2015-05-31,14589.0
Hillary_Clinton,2015-06-30,104279.0
Hillary_Clinton,2015-07-31,261582.0
Hillary_Clinton,2015-08-31,467549.0
Hillary_Clinton,2015-09-30,394017.0
Hillary_Clinton,2015-10-31,640156.0
Hillary_Clinton,2015-11-30,367951.0
Hillary_Clinton,2015-12-31,407493.0
Hillary_Clinton,2016-01-31,634414.0
Hillary_Clinton,2016-02-29,1143542.0
Hillary_Clinton,2016-03-31,1340343.0
Hillary_Clinton,2016-04-30,918838.0
Independence_Day_(United_States),2010-04-30,49837.0
Independence_Day_(United_States),2010-05-31,71290.0
Independence_Day_(United_States),2010-06-30,136989.0
Independence_Day_(United_States),2010-07-31,456430.0
Independence_Day_(United_States),2010-08-31,77733.0
Independence_Day_(United_States),2010-09-30,85499.0
Independence_Day_(United_States),2010-10-31,75381.0
Independence_Day_(United_States),2010-11-30,82535.0
Independence_Day_(United_States),2010-12-31,76800.0
Independence_Day_(United_States),2011-01-31,85690.0
Independence_Day_(United_States),2011-02-28,58385.0
Independence_Day_(United_States),2011-03-31,62805.0
Independence_Day_(United_States),2011-04-30,62643.0
Independence_Day_(United_States),2011-05-31,80047.0
Independence_Day_(United_States),2011-06-30,195902.0
Independence_Day_(United_States),2011-07-31,764989.0
Independence_Day_(United_States),2011-08-31,65166.0
Independence_Day_(United_States),2011-09-30,58884.0
Independence_Day_(United_States),2011-10-31,63414.0
Independence_Day_(United_States),2011-11-30,68081.0
Independence_Day_(United_States),2011-12-31,50471.0
Independence_Day_(United_States),2012-01-31,63211.0
Independence_Day_(United_States),2012-02-29,61748.0
Independence_Day_(United_States),2012-03-31,59192.0
Independence_Day_(United_States),2012-04-30,55556.0
Independence_Day_(United_States),2012-05-31,92595.0
Independence_Day_(United_States),2012-06-30,216790.0
Independence_Day_(United_States),2012-07-31,1417500.0
Independence_Day_(United_States),2012-08-31,85872.0
Independence_Day_(United_States),2012-09-30,81901.0
Independence_Day_(United_States),2012-10-31,78700.0
Independence_Day_(United_States),2012-11-30,83895.0
Independence_Day_(United_States),2012-12-31,66034.0
Independence_Day_(United_States),2013-01-31,78645.0
Independence_Day_(United_States),2013-02-28,64338.0
Independence_Day_(United_States),2013-03-31,73461.0
Independence_Day_(United_States),2013-04-30,76583.0
Independence_Day_(United_States),2013-05-31,97643.0
Independence_Day_(United_States),2013-06-30,222456.0
Independence_Day_(United_States),2013-07-31,1280849.0
Independence_Day_(United_States),2013-08-31,107532.0
Independence_Day_(United_States),2013-09-30,74422.0
Independence_Day_(United_States),2013-10-31,77512.0
Independence_Day_(United_States),2013-11-30,80727.0
Independence_Day_(United_States),2013-12-31,58397.0
Independence_Day_(United_States),2014-01-31,50033.0
Independence_Day_(United_States),2014-02-28,49556.0
Independence_Day_(United_States),2014-03-31,53753.0
Independence_Day_(United_States),2014-04-30,52067.0
Independence_Day_(United_States),2014-05-31,69821.0
Independence_Day_(United_States),2014-06-30,153642.0
Independence_Day_(United_States),2014-07-31,724456.0
Independence_Day_(United_States),2014-08-31,56380.0
Independence_Day_(United_States),2014-09-30,63979.0
Independence_Day_(United_States),2014-10-31,49748.0
Independence_Day_(United_States),2014-11-30,47665.0
Independence_Day_(United_States),2014-12-31,24746.0
Independence_Day_(United_States),2015-01-31,27340.0
Independence_Day_(United_States),2015-02-28,24747.0
Independence_Day_(United_States),2015-03-31,52073.0
Independence_Day_(United_States),2015-04-30,27329.0
Independence_Day_(United_States),2015-05-31,36509.0
Independence_Day_(United_States),2015-06-30,112228.0
Independence_Day_(United_States),2015-07-31,505025.0
Independence_Day_(United_States),2015-08-31,94611.0
Independence_Day_(United_States),2015-09-30,80330.0
